date,name,type
2014-04-30,International Jazz Day,United Nations observance
2014-05-01,Law Day,Observance
2014-05-01,Loyalty Day,Observance
2014-05-01,National Day of Prayer,Observance
2014-05-01,Lei Day,Local observance
2014-05-01,West Virginia Day of Prayer,State Observation
2014-05-01,First Day of Asian Pacific American Heritage Month,Annual monthly observance
2014-05-01,First Day of Jewish American Heritage Month,Annual monthly observance
2014-05-02,Kentucky Oaks,Sporting event
2014-05-03,World Press Freedom Day,United Nations observance
2014-05-03,Kentucky Derby,Sporting event
2014-05-03,National Explosive Ordnance Disposal (EOD) Day,Observance
2014-05-04,International Family Equality Day,Worldwide observance
2014-05-04,Kent State Shootings Remembrance,Local observance
2014-05-04,Rhode Island Independence Day,Local observance
2014-05-05,Cinco de Mayo,Observance
2014-05-06,Yom Ha'atzmaut,Jewish holiday
2014-05-06,National Nurses Day,Observance
2014-05-06,Primary Election Day,State holiday
2014-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
2014-05-08,World Ovarian Cancer Day,Worldwide observance
2014-05-08,World Red Cross and Red Crescent Day,Worldwide observance
2014-05-08,Truman Day,State holiday
2014-05-08,Victory in Europe Day,Observance
2014-05-09,Confederate Memorial Day observed,State holiday
2014-05-09,Native American Day,State Observation
2014-05-09,Military Spouse Appreciation Day,State Observation
2014-05-09,Military Spouse Appreciation Day,Observance
2014-05-10,World Migratory Bird Day,United Nations observance
2014-05-10,Confederate Memorial Day,Local observance
2014-05-10,Confederate Memorial Day,State holiday
2014-05-11,Mother's Day,State holiday
2014-05-11,Mother's Day,Observance
2014-05-12,International Nurses Day,Worldwide observance
2014-05-13,Day of Vesak,United Nations observance
2014-05-13,Primary Election Day,State holiday
2014-05-15,International Day of Families,United Nations observance
2014-05-15,Peace Officers Memorial Day,Observance
2014-05-16,National Defense Transportation Day,Observance
2014-05-17,World Information Society Day,United Nations observance
2014-05-17,Armed Forces Day,Observance
2014-05-17,Preakness Stakes,Sporting event
2014-05-18,Lag BaOmer,Jewish holiday
2014-05-20,World Autoimmune Arthritis Day,Worldwide observance
2014-05-21,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
2014-05-21,Emergency Medical Services for Children Day,Observance
2014-05-22,International Day for Biological Diversity,United Nations observance
2014-05-22,National Maritime Day,Observance
2014-05-22,Harvey Milk Day,Local observance
2014-05-23,International Day to End Obstetric Fistula,United Nations observance
2014-05-25,African Liberation Day,Worldwide observance
2014-05-25,National Missing Children's Day,Observance
2014-05-26,Memorial Day,Federal Holiday
2014-05-26,Decoration Day,State holiday
2014-05-26,Jefferson Davis' Birthday,Local observance
2014-05-27,Isra and Mi'raj,Muslim
2014-05-29,Ascension Day,Christian
2014-05-29,International Day of United Nations Peacekeepers,United Nations observance
2014-05-31,World No Tobacco Day,United Nations observance
2014-06-01,Global Day of Parents,United Nations observance
2014-06-01,First Day of Pride Month,Annual monthly observance
2014-06-01,First Day of Caribbean-American Heritage Month,Annual monthly observance
2014-06-01,Statehood Day,Local observance
2014-06-02,Jefferson Davis' Birthday,State holiday
2014-06-03,Jefferson Davis' Birthday,Local observance
2014-06-04,Shavuot,Jewish holiday
2014-06-04,International Day of Innocent Children Victims of Aggression,United Nations observance
2014-06-05,World Environment Day,United Nations observance
2014-06-06,Day of the Russian Language,United Nations observance
2014-06-06,D-Day,Observance
2014-06-07,Belmont Stakes,Sporting event
2014-06-08,Pentecost,Christian
2014-06-08,World Oceans Day,United Nations observance
2014-06-09,Whit Monday,Christian
2014-06-11,Kamehameha Day,State holiday
2014-06-12,World Day Against Child Labour,United Nations observance
2014-06-12,Loving Day,Observance
2014-06-13,Friday the 13th,Worldwide observance
2014-06-14,World Blood Donor Day,United Nations observance
2014-06-14,Army Birthday,Observance
2014-06-14,Flag Day,Observance
2014-06-15,Trinity Sunday,Christian
2014-06-15,World Elder Abuse Awareness Day,United Nations observance
2014-06-15,Father's Day,State holiday
2014-06-15,Father's Day,Observance
2014-06-17,World Day to Combat Desertification and Drought,United Nations observance
2014-06-17,Bunker Hill Day,Local holiday
2014-06-19,Corpus Christi,Christian
2014-06-19,Juneteenth,Observance
2014-06-19,Juneteenth,State Observation
2014-06-19,Juneteenth Freedom Day,State holiday
2014-06-19,Juneteenth Independence Day,Observance
2014-06-19,Emancipation Day,State holiday
2014-06-20,World Refugee Day,United Nations observance
2014-06-20,West Virginia Day,State holiday
2014-06-20,American Eagle Day,Observance
2014-06-21,International Day of Yoga,United Nations observance
2014-06-21,Juneteenth Day,State Observation
2014-06-21,June Solstice,Season
2014-06-22,Juneteenth Independence Day,State Observation
2014-06-23,Public Service Day,United Nations observance
2014-06-23,International Widows' Day,United Nations observance
2014-06-25,Day of the Seafarer,United Nations observance
2014-06-26,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
2014-06-26,International Day in Support of Victims of Torture,United Nations observance
2014-06-29,Ramadan Starts,Muslim
2014-07-04,Independence Day,State holiday
2014-07-04,Independence Day,Federal Holiday
2014-07-05,International Day of Cooperatives,United Nations observance
2014-07-11,World Population Day,United Nations observance
2014-07-13,Nathan Bedford Forrest Day,Local observance
2014-07-14,Bastille Day,Observance
2014-07-18,Nelson Mandela Day,United Nations observance
2014-07-24,Lailat al-Qadr,Muslim
2014-07-24,Pioneer Day,State holiday
2014-07-27,Parents' Day,Observance
2014-07-27,Korean War Veteran Recognition Day,State Observation
2014-07-27,National Korean War Veterans Armistice Day,Observance
2014-07-28,World Hepatitis Day,United Nations observance
2014-07-30,International Day of Friendship,United Nations observance
2014-07-30,World Day against Trafficking in Persons,United Nations observance
2014-08-01,Colorado Day,State Observation
2014-08-03,American Family Day,State holiday
2014-08-04,Coast Guard Birthday,Observance
2014-08-05,Tisha B'Av,Jewish holiday
2014-08-07,Purple Heart Day,State Observation
2014-08-07,Purple Heart Day,Observance
2014-08-09,International Day of the World's Indigenous People,United Nations observance
2014-08-10,Raksha Bandhan,Hindu Holiday
2014-08-11,Victory Day,State holiday
2014-08-12,International Youth Day,United Nations observance
2014-08-15,Assumption of Mary,Christian
2014-08-15,Hawaii Statehood Day,State holiday
2014-08-15,Bennington Battle Day observed,State holiday
2014-08-16,Janmashtami,Hindu Holiday
2014-08-16,Bennington Battle Day,State holiday
2014-08-17,National Navajo Code Talkers Day,State holiday
2014-08-17,National Senior Citizens Day,Observance
2014-08-19,World Humanitarian Day,United Nations observance
2014-08-19,National Aviation Day,Observance
2014-08-23,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
2014-08-26,Women's Equality Day,Observance
2014-08-27,Lyndon Baines Johnson Day,State holiday
2014-08-29,Ganesh Chaturthi,Hindu Holiday
2014-08-29,International Day against Nuclear Tests,United Nations observance
2014-08-30,International Day of the Victims of Enforced Disappearances,United Nations observance
2014-08-31,International Overdose Awareness Day,Worldwide observance
2014-09-01,Labor Day,Federal Holiday
2014-09-04,World Sexual Health Day,Worldwide observance
2014-09-05,International Day of Charity,United Nations observance
2014-09-06,Carl Garner Federal Lands Cleanup Day,Observance
2014-09-06,Native American Day,State Observation
2014-09-07,National Grandparents Day,Observance
2014-09-08,International Literacy Day,United Nations observance
2014-09-09,California Admission Day,State holiday
2014-09-10,World Suicide Prevention Day,Worldwide observance
2014-09-11,Patriot Day,Observance
2014-09-12,International Day for South-South Cooperation,United Nations observance
2014-09-13,International Programmers' Day,Worldwide observance
2014-09-14,Constitution Commemoration Day,State holiday
2014-09-15,International Day of Democracy,United Nations observance
2014-09-15,First Day of National Hispanic Heritage Month,Annual monthly observance
2014-09-16,International Day for the Preservation of the Ozone Layer,United Nations observance
2014-09-17,Constitution Day and Citizenship Day,Observance
2014-09-18,Air Force Birthday,Observance
2014-09-19,National POW/MIA Recognition Day,Observance
2014-09-21,International Day of Peace,United Nations observance
2014-09-22,American Indian Day,State Observation
2014-09-22,Emancipation Day,Local observance
2014-09-22,September Equinox,Season
2014-09-23,International Celebrate Bisexuality Day,Worldwide observance
2014-09-24,Navratri,Hindu Holiday
2014-09-25,Rosh Hashana,Jewish holiday
2014-09-25,World Maritime Day,United Nations observance
2014-09-25,Rosh Hashana,State holiday
2014-09-26,International Day for the Total Elimination of Nuclear Weapons,United Nations observance
2014-09-26,Native American Day,State Observation
2014-09-26,American Indian Heritage Day,State Observation
2014-09-27,World Tourism Day,United Nations observance
2014-09-27,National Public Lands Day,Observance
2014-09-28,World Rabies Day,Worldwide observance
2014-09-28,Gold Star Mother's Day,Observance
2014-09-29,World Heart Day,Worldwide observance
2014-10-01,International Day of Older Persons,United Nations observance
2014-10-01,World Cerebral Palsy Day,Worldwide observance
2014-10-01,World Vegetarian Day,Worldwide observance
2014-10-02,International Day of Non-Violence,United Nations observance
2014-10-03,Dussehra,Hindu Holiday
2014-10-04,Feast of St Francis of Assisi,Christian
2014-10-04,Yom Kippur,Jewish holiday
2014-10-04,Eid al-Adha,Muslim
2014-10-04,Yom Kippur,State holiday
2014-10-05,World Teachers' Day,United Nations observance
2014-10-06,World Habitat Day,United Nations observance
2014-10-06,Child Health Day,Observance
2014-10-08,International Day for Natural Disaster Reduction,United Nations observance
2014-10-09,First Day of Sukkot,Jewish holiday
2014-10-09,World Post Day,United Nations observance
2014-10-09,World Sight Day,Worldwide observance
2014-10-09,Leif Erikson Day,Observance
2014-10-10,World Mental Health Day,United Nations observance
2014-10-11,International Day of the Girl Child,United Nations observance
2014-10-11,Casimir Pulaski Day,State Observation
2014-10-12,World Spanish Language Day,United Nations observance
2014-10-12,Chicago Marathon,Sporting event
2014-10-13,Navy Birthday,Observance
2014-10-13,Columbus Day,State holiday
2014-10-13,Columbus Day,Federal Holiday
2014-10-13,Fraternal Day,State holiday
2014-10-13,Native American Day,State holiday
2014-10-13,Indigenous People's Day,State Observation
2014-10-13,American Indian Heritage Day,State holiday
2014-10-15,Last Day of Sukkot,Jewish holiday
2014-10-15,International Day of Rural Women,United Nations observance
2014-10-15,White Cane Safety Day,Observance
2014-10-16,Shmini Atzeret,Jewish holiday
2014-10-16,World Food Day,United Nations observance
2014-10-16,Boss's Day,Observance
2014-10-17,Simchat Torah,Jewish holiday
2014-10-17,International Day for the Eradication of Poverty,United Nations observance
2014-10-17,Alaska Day observed,State holiday
2014-10-18,Alaska Day,State holiday
2014-10-18,Sweetest Day,Observance
2014-10-22,Diwali/Deepavali,Hindu Holiday
2014-10-24,United Nations Day,United Nations observance
2014-10-24,World Development Information Day,United Nations observance
2014-10-25,Muharram,Muslim
2014-10-27,World Day for Audiovisual Heritage,United Nations observance
2014-10-29,World Stroke Day,Worldwide observance
2014-10-31,World Cities Day,United Nations observance
2014-10-31,Halloween,Observance
2014-10-31,Nevada Day,State holiday
2014-11-01,All Saints' Day,Christian
2014-11-01,World Vegan Day,Worldwide observance
2014-11-01,First Day of Native American Heritage Month,Annual monthly observance
2014-11-02,All Souls' Day,Christian
2014-11-02,International Day to End Impunity for Crimes against Journalists,United Nations observance
2014-11-02,New York City Marathon,Sporting event
2014-11-02,Daylight Saving Time ends,Clock change/Daylight Saving Time
2014-11-03,Ashura,Muslim
2014-11-04,Election Day,Observance
2014-11-04,Election Day,State holiday
2014-11-04,Susan B. Anthony's Birthday,State Observation
2014-11-06,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,United Nations observance
2014-11-06,Return Day,State holiday
2014-11-10,World Science Day for Peace and Development,United Nations observance
2014-11-10,Marine Corps Birthday,Observance
2014-11-10,Barack Obama Day,Local observance
2014-11-11,Veterans Day,Federal Holiday
2014-11-12,World Pneumonia Day,Worldwide observance
2014-11-14,World Diabetes Day,United Nations observance
2014-11-16,International Day for Tolerance,United Nations observance
2014-11-16,World Day of Remembrance for Road Traffic Victims,United Nations observance
2014-11-17,World Prematurity Day,Worldwide observance
2014-11-19,World Chronic Obstructive Pulmonary Disease Day,United Nations observance
2014-11-19,World Toilet Day,United Nations observance
2014-11-19,International Men's Day,Worldwide observance
2014-11-19,George Rogers Clark Day,State Observation
2014-11-20,Universal Children's Day,United Nations observance
2014-11-20,Africa Industrialization Day,United Nations observance
2014-11-20,World Philosophy Day,United Nations observance
2014-11-21,World Television Day,United Nations observance
2014-11-25,International Day for the Elimination of Violence against Women,United Nations observance
2014-11-27,Thanksgiving Day,Federal Holiday
2014-11-28,Robert E. Lee's Birthday,State holiday
2014-11-28,Presidents' Day,State holiday
2014-11-28,Lincoln's Birthday/Lincoln's Day,State holiday
2014-11-28,Day After Thanksgiving,State holiday
2014-11-28,Black Friday,Observance
2014-11-28,American Indian Heritage Day,State holiday
2014-11-28,Native American Heritage Day,State holiday
2014-11-28,Native American Heritage Day,Observance
2014-11-29,International Day of Solidarity with the Palestinian People,United Nations observance
2014-11-29,Nellie Tayloe Ross's Birthday,State Observation
2014-11-30,First Sunday of Advent,Christian
2014-12-01,World AIDS Day,United Nations observance
2014-12-01,Cyber Monday,Observance
2014-12-01,Rosa Parks Day,Local observance
2014-12-02,International Day for the Abolition of Slavery,United Nations observance
2014-12-03,International Day of Persons with Disabilities,United Nations observance
2014-12-05,International Volunteer Day for Economic and Social Development,United Nations observance
2014-12-05,World Soil Day,United Nations observance
2014-12-06,St Nicholas Day,Observance
2014-12-07,International Civil Aviation Day,United Nations observance
2014-12-07,Pearl Harbor Remembrance Day,State Observation
2014-12-07,Pearl Harbor Remembrance Day,Observance
2014-12-07,Delaware Day,State Observation
2014-12-08,Feast of the Immaculate Conception,Christian
2014-12-09,International Anti-Corruption Day,United Nations observance
2014-12-10,Human Rights Day,United Nations observance
2014-12-10,Wyoming Day,State Observation
2014-12-11,International Mountain Day,United Nations observance
2014-12-12,Feast of Our Lady of Guadalupe,Christian
2014-12-13,National Guard Birthday,Observance
2014-12-15,Bill of Rights Day,Observance
2014-12-17,Chanukah/Hanukkah (first day),Jewish holiday
2014-12-17,Pan American Aviation Day,Observance
2014-12-17,Wright Brothers Day,Observance
2014-12-18,International Migrants Day,United Nations observance
2014-12-18,Arabic Language Day,United Nations observance
2014-12-20,International Human Solidarity Day,United Nations observance
2014-12-21,December Solstice,Season
2014-12-24,Last Day of Chanukah,Jewish holiday
2014-12-24,Christmas Eve,State holiday
2014-12-24,Christmas Eve,"Observance, Christian"
2014-12-25,Christmas Day,Federal Holiday
2014-12-25,Christmas Day,State holiday
2014-12-26,Kwanzaa (first day),Observance
2014-12-26,Day After Christmas Day,State holiday
2014-12-26,Washington's Birthday,State holiday
2014-12-31,New Year's Eve,State holiday
2014-12-31,New Year's Eve,Observance
2015-01-01,Asarah B'Tevet,Jewish holiday
2015-01-01,New Year's Day,Federal Holiday
2015-01-03,The Prophet's Birthday,Muslim
2015-01-04,World Braille Day,Worldwide observance
2015-01-06,Epiphany,Christian
2015-01-07,Orthodox Christmas Day,Orthodox
2015-01-07,International Programmers' Day,Worldwide observance
2015-01-13,Stephen Foster Memorial Day,Observance
2015-01-14,Orthodox New Year,Orthodox
2015-01-16,Lee-Jackson Day,State holiday
2015-01-18,World Religion Day,Worldwide observance
2015-01-19,Martin Luther King Jr. Day,Federal Holiday
2015-01-19,Robert E. Lee's Birthday,State holiday
2015-01-19,Robert E. Lee's Birthday,State Legal Holiday
2015-01-19,Confederate Heroes' Day,State holiday
2015-01-19,Idaho Human Rights Day,State holiday
2015-01-19,Civil Rights Day,State holiday
2015-01-25,World Leprosy Day,Worldwide observance
2015-01-26,International Customs Day,Worldwide observance
2015-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
2015-01-29,Kansas Day,State Observation
2015-02-01,National Freedom Day,Observance
2015-02-01,Super Bowl,Sporting event
2015-02-01,First Day of Black History Month,Annual monthly observance
2015-02-02,World Wetlands Day,Worldwide observance
2015-02-02,Groundhog Day,Observance
2015-02-04,Tu Bishvat/Tu B'Shevat,Jewish holiday
2015-02-04,World Cancer Day,Worldwide observance
2015-02-04,Rosa Parks Day,Local observance
2015-02-04,Rosa Parks Day,State Observation
2015-02-06,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
2015-02-06,Ronald Reagan Day,State Observation
2015-02-06,National Wear Red Day,Observance
2015-02-11,World Day of the Sick,Worldwide observance
2015-02-12,Lincoln's Birthday,State holiday
2015-02-12,Lincoln's Birthday,State Legal Holiday
2015-02-12,Georgia Day,State Observation
2015-02-13,World Radio Day,United Nations observance
2015-02-13,Friday the 13th,Worldwide observance
2015-02-14,Valentine's Day,Observance
2015-02-14,Statehood Day,Local observance
2015-02-15,Susan B. Anthony's Birthday,State Observation
2015-02-16,Maha Shivaratri,Hindu Holiday
2015-02-16,Presidents' Day,Federal Holiday
2015-02-16,Presidents' Day,State holiday
2015-02-16,Presidents' Day,State Legal Holiday
2015-02-16,Daisy Gatson Bates Day,State holiday
2015-02-16,Elizabeth Peratrovich Day,State Observation
2015-02-17,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2015-02-17,Shrove Tuesday/Mardi Gras,State holiday
2015-02-18,Ash Wednesday,Christian
2015-02-19,Lunar New Year,Observance
2015-02-20,World Day of Social Justice,United Nations observance
2015-02-21,International Mother Language Day,United Nations observance
2015-02-25,George Rogers Clark Day,State Observation
2015-02-28,Linus Pauling Day,Local observance
2015-03-01,Zero Discrimination Day,United Nations observance
2015-03-01,Self-Injury Awareness Day,Worldwide observance
2015-03-01,St. David's Day,"Observance, Christian"
2015-03-01,First Day of Women's History Month,Annual monthly observance
2015-03-01,First Day of Irish American Heritage Month,Annual monthly observance
2015-03-02,Texas Independence Day,State holiday
2015-03-02,Casimir Pulaski Day,State Observation
2015-03-02,Read Across America Day,Observance
2015-03-03,World Wildlife Day,United Nations observance
2015-03-03,Town Meeting Day,State holiday
2015-03-04,Casimir Pulaski Day,State Observation
2015-03-05,Holi,Hindu Holiday
2015-03-05,Purim,Jewish holiday
2015-03-06,Employee Appreciation Day,Observance
2015-03-08,International Women's Day,United Nations observance
2015-03-08,Daylight Saving Time starts,Clock change/Daylight Saving Time
2015-03-12,World Kidney Day,Worldwide observance
2015-03-13,Friday the 13th,Worldwide observance
2015-03-17,St. Patrick's Day,"Observance, Christian"
2015-03-17,Evacuation Day,State holiday
2015-03-20,French Language Day,United Nations observance
2015-03-20,International Day of Happiness,United Nations observance
2015-03-20,March Equinox,Season
2015-03-21,International Day for the Elimination of Racial Discrimination,United Nations observance
2015-03-21,World Poetry Day,United Nations observance
2015-03-21,International Day of Nowruz,United Nations observance
2015-03-21,World Down Syndrome Day,United Nations observance
2015-03-21,International Day of Forests,United Nations observance
2015-03-22,World Water Day,United Nations observance
2015-03-23,World Meteorological Day,United Nations observance
2015-03-24,World Tuberculosis Day,United Nations observance
2015-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
2015-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
2015-03-25,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
2015-03-25,Maryland Day,Local observance
2015-03-26,Prince Jonah Kuhio Kalanianaole Day,State holiday
2015-03-28,Earth Hour,Worldwide observance
2015-03-29,Palm Sunday,Christian
2015-03-30,Wyoming Veterans Welcome Home Day,State Observation
2015-03-30,Doctors' Day,Observance
2015-03-30,Seward's Day,State holiday
2015-03-30,Vietnam Veterans Day,State Observation
2015-03-31,César Chávez Day,State holiday
2015-04-01,April Fool's Day,Worldwide observance
2015-04-02,Maundy Thursday,Christian
2015-04-02,World Autism Awareness Day,United Nations observance
2015-04-02,Pascua Florida Day,Local observance
2015-04-03,Passover Eve,Jewish holiday
2015-04-03,Good Friday,State holiday
2015-04-04,Holy Saturday,Christian
2015-04-04,Passover (first day),Jewish holiday
2015-04-04,United Nations' Mine Awareness Day,United Nations observance
2015-04-05,Easter Sunday,"Observance, Christian"
2015-04-06,International Day of Sport for Development and Peace,United Nations observance
2015-04-06,Easter Monday,"Observance, Christian"
2015-04-06,National Tartan Day,Observance
2015-04-07,United Nations' World Health Day,United Nations observance
2015-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
2015-04-10,Orthodox Good Friday,Orthodox
2015-04-11,Last Day of Passover,Jewish holiday
2015-04-11,Orthodox Holy Saturday,Orthodox
2015-04-12,Orthodox Easter,Orthodox
2015-04-12,International Day of Human Space Flight,United Nations observance
2015-04-13,Orthodox Easter Monday,Orthodox
2015-04-13,Thomas Jefferson's Birthday,Observance
2015-04-14,National Library Workers' Day,Observance
2015-04-15,Yom HaShoah,Jewish commemoration
2015-04-15,Tax Day,Observance
2015-04-15,Father Damien Day,Local observance
2015-04-16,Emancipation Day,State holiday
2015-04-17,Global Youth Service Day,Worldwide observance
2015-04-18,International Day for Monuments and Sites,Worldwide observance
2015-04-20,Chinese Language Day,United Nations observance
2015-04-20,Patriots' Day,State holiday
2015-04-20,Boston Marathon,Sporting event
2015-04-21,San Jacinto Day,State holiday
2015-04-22,Earth Day,United Nations observance
2015-04-22,Oklahoma Day,Local observance
2015-04-22,Administrative Professionals Day,Observance
2015-04-23,Yom Ha'atzmaut,Jewish holiday
2015-04-23,World Book and Copyright Day,United Nations observance
2015-04-23,International Girls in ICT Day,United Nations observance
2015-04-23,English Language Day,United Nations observance
2015-04-23,Take our Daughters and Sons to Work Day,Observance
2015-04-24,Arbor Day,State holiday
2015-04-24,Arbor Day,State Observation
2015-04-25,World Malaria Day,United Nations observance
2015-04-26,World Intellectual Property Day,United Nations observance
2015-04-26,Confederate Heroes' Day,Local observance
2015-04-27,Arbor Day,State Observation
2015-04-27,Confederate Memorial Day,State holiday
2015-04-27,Confederate Memorial Day,State holiday
2015-04-27,Confederate Heroes' Day observed,Local observance
2015-04-28,World Day for Safety and Health at Work,United Nations observance
2015-04-29,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
2015-04-30,International Jazz Day,United Nations observance
2015-05-01,Kentucky Oaks,Sporting event
2015-05-01,Law Day,Observance
2015-05-01,Loyalty Day,Observance
2015-05-01,Lei Day,Local observance
2015-05-01,First Day of Asian Pacific American Heritage Month,Annual monthly observance
2015-05-01,First Day of Jewish American Heritage Month,Annual monthly observance
2015-05-02,Kentucky Derby,Sporting event
2015-05-02,National Explosive Ordnance Disposal (EOD) Day,Observance
2015-05-03,World Press Freedom Day,United Nations observance
2015-05-03,International Family Equality Day,Worldwide observance
2015-05-04,Kent State Shootings Remembrance,Local observance
2015-05-04,Rhode Island Independence Day,Local observance
2015-05-05,Cinco de Mayo,Observance
2015-05-05,Primary Election Day,State holiday
2015-05-06,National Nurses Day,Observance
2015-05-07,Lag BaOmer,Jewish holiday
2015-05-07,National Day of Prayer,Observance
2015-05-07,West Virginia Day of Prayer,State Observation
2015-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
2015-05-08,World Ovarian Cancer Day,Worldwide observance
2015-05-08,World Red Cross and Red Crescent Day,Worldwide observance
2015-05-08,Truman Day,State holiday
2015-05-08,Victory in Europe Day,Observance
2015-05-08,Native American Day,State Observation
2015-05-08,Military Spouse Appreciation Day,State Observation
2015-05-08,Military Spouse Appreciation Day,Observance
2015-05-09,World Migratory Bird Day,United Nations observance
2015-05-10,Mother's Day,State holiday
2015-05-10,Mother's Day,Observance
2015-05-10,Confederate Memorial Day,Local observance
2015-05-10,Confederate Memorial Day,State holiday
2015-05-11,Confederate Memorial Day observed,State holiday
2015-05-12,International Nurses Day,Worldwide observance
2015-05-14,Ascension Day,Christian
2015-05-15,International Day of Families,United Nations observance
2015-05-15,Peace Officers Memorial Day,Observance
2015-05-15,National Defense Transportation Day,Observance
2015-05-16,Isra and Mi'raj,Muslim
2015-05-16,Armed Forces Day,Observance
2015-05-16,Preakness Stakes,Sporting event
2015-05-17,World Information Society Day,United Nations observance
2015-05-20,World Autoimmune Arthritis Day,Worldwide observance
2015-05-20,Emergency Medical Services for Children Day,Observance
2015-05-21,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
2015-05-22,International Day for Biological Diversity,United Nations observance
2015-05-22,National Maritime Day,Observance
2015-05-22,Harvey Milk Day,Local observance
2015-05-23,International Day to End Obstetric Fistula,United Nations observance
2015-05-24,Pentecost,Christian
2015-05-24,Shavuot,Jewish holiday
2015-05-25,Whit Monday,Christian
2015-05-25,African Liberation Day,Worldwide observance
2015-05-25,Memorial Day,Federal Holiday
2015-05-25,Decoration Day,State holiday
2015-05-25,Jefferson Davis' Birthday,Local observance
2015-05-25,National Missing Children's Day,Observance
2015-05-29,International Day of United Nations Peacekeepers,United Nations observance
2015-05-31,Trinity Sunday,Christian
2015-05-31,World No Tobacco Day,United Nations observance
2015-06-01,Global Day of Parents,United Nations observance
2015-06-01,Day of Vesak,United Nations observance
2015-06-01,First Day of Pride Month,Annual monthly observance
2015-06-01,First Day of Caribbean-American Heritage Month,Annual monthly observance
2015-06-01,Statehood Day,Local observance
2015-06-01,Jefferson Davis' Birthday,State holiday
2015-06-03,Jefferson Davis' Birthday,Local observance
2015-06-04,Corpus Christi,Christian
2015-06-04,International Day of Innocent Children Victims of Aggression,United Nations observance
2015-06-05,World Environment Day,United Nations observance
2015-06-06,Day of the Russian Language,United Nations observance
2015-06-06,D-Day,Observance
2015-06-06,Belmont Stakes,Sporting event
2015-06-08,World Oceans Day,United Nations observance
2015-06-11,Kamehameha Day,State holiday
2015-06-12,World Day Against Child Labour,United Nations observance
2015-06-12,Loving Day,Observance
2015-06-13,International Albinism Awareness Day,United Nations observance
2015-06-14,World Blood Donor Day,United Nations observance
2015-06-14,Army Birthday,Observance
2015-06-14,Flag Day,Observance
2015-06-15,World Elder Abuse Awareness Day,United Nations observance
2015-06-16,International Day of Family Remittances,United Nations observance
2015-06-17,World Day to Combat Desertification and Drought,United Nations observance
2015-06-17,Bunker Hill Day,Local holiday
2015-06-18,Ramadan Starts,Muslim
2015-06-19,International Day for the Elimination of Sexual Violence in Conflict,United Nations observance
2015-06-19,Juneteenth,Observance
2015-06-19,Juneteenth,State Observation
2015-06-19,Juneteenth Freedom Day,State holiday
2015-06-19,Juneteenth Independence Day,Observance
2015-06-19,Emancipation Day,State holiday
2015-06-20,World Refugee Day,United Nations observance
2015-06-20,Juneteenth Day,State Observation
2015-06-20,West Virginia Day,State holiday
2015-06-20,American Eagle Day,Observance
2015-06-21,International Day of Yoga,United Nations observance
2015-06-21,Father's Day,Observance
2015-06-21,Father's Day,State holiday
2015-06-21,Juneteenth Independence Day,State Observation
2015-06-21,June Solstice,Season
2015-06-23,Public Service Day,United Nations observance
2015-06-23,International Widows' Day,United Nations observance
2015-06-25,Day of the Seafarer,United Nations observance
2015-06-26,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
2015-06-26,International Day in Support of Victims of Torture,United Nations observance
2015-07-03,Independence Day (substitute),Federal Holiday
2015-07-03,Independence Day (substitute),State holiday
2015-07-04,International Day of Cooperatives,United Nations observance
2015-07-04,Independence Day,State holiday
2015-07-04,Independence Day,State holiday
2015-07-04,Independence Day,Federal Holiday
2015-07-11,World Population Day,United Nations observance
2015-07-13,Lailat al-Qadr,Muslim
2015-07-13,Nathan Bedford Forrest Day,Local observance
2015-07-14,Bastille Day,Observance
2015-07-15,World Youth Skills Day,United Nations observance
2015-07-18,Nelson Mandela Day,United Nations observance
2015-07-24,Pioneer Day,State holiday
2015-07-26,Tisha B'Av,Jewish holiday
2015-07-26,Parents' Day,Observance
2015-07-27,Korean War Veteran Recognition Day,State Observation
2015-07-27,National Korean War Veterans Armistice Day,Observance
2015-07-28,World Hepatitis Day,United Nations observance
2015-07-30,International Day of Friendship,United Nations observance
2015-07-30,World Day against Trafficking in Persons,United Nations observance
2015-08-01,Colorado Day,State Observation
2015-08-02,American Family Day,State holiday
2015-08-04,Coast Guard Birthday,Observance
2015-08-07,Purple Heart Day,Observance
2015-08-07,Purple Heart Day,State Observation
2015-08-09,International Day of the World's Indigenous People,United Nations observance
